Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	
1.629642	0.024518	0.039471	0.024518	50.000000	45.000000	0.060000	
1.630143	0.024518	0.039471	0.000960	50.000000	45.000000	0.060000	
1.630643	0.024518	0.039471	0.000960	50.000000	45.000000	0.060000	
1.631144	0.024447	0.039522	0.000864	50.000000	45.000000	0.060000	
1.631644	0.024447	0.039522	0.000864	50.000000	45.000000	0.060000	
1.632144	0.024447	0.039522	0.000864	50.000000	45.000000	0.060000	
1.632645	0.024447	0.039522	0.000864	50.000000	45.000000	0.060000	
1.633145	0.024447	0.039522	0.000864	50.000000	45.000000	0.060000	
1.633645	0.024375	0.039573	0.000768	50.000000	45.000000	0.060000	
1.634146	0.024375	0.039573	0.000768	50.000000	45.000000	0.060000	
1.634646	0.024340	0.039564	0.000728	50.000000	45.000000	0.060000	
1.635146	0.024340	0.039564	0.000728	50.000000	45.000000	0.060000	
1.635647	0.024340	0.039564	0.000728	50.000000	45.000000	0.060000	
1.636147	0.024340	0.039564	0.000728	50.000000	45.000000	0.060000	
1.636647	0.024340	0.039564	0.000728	50.000000	45.000000	0.060000	
1.637148	0.024233	0.039605	0.000592	50.000000	45.000000	0.060000	
1.637687	0.024233	0.039605	0.000592	50.000000	45.000000	0.060000	
1.638187	0.024233	0.039605	0.000592	50.000000	45.000000	0.060000	
1.638687	0.024233	0.039605	0.000592	50.000000	45.000000	0.060000	
1.639188	0.024233	0.039605	0.000592	50.000000	45.000000	0.060000	
1.639688	0.024197	0.039665	0.000536	50.000000	45.000000	0.060000	
1.640188	0.024197	0.039665	0.000536	50.000000	45.000000	0.060000	
1.640689	0.024162	0.039656	0.000496	50.000000	45.000000	0.060000	
1.641189	0.024162	0.039656	0.000496	50.000000	45.000000	0.060000	
1.641689	0.024162	0.039656	0.000496	50.000000	45.000000	0.060000	
1.642190	0.024091	0.039706	0.000399	50.000000	45.000000	0.060000	
1.642690	0.024091	0.039706	0.000399	50.000000	45.000000	0.060000	
1.643190	0.024055	0.039697	0.000359	50.000000	45.000000	0.060000	
1.643691	0.024055	0.039697	0.000359	50.000000	45.000000	0.060000	
1.644192	0.024055	0.039697	0.000359	50.000000	45.000000	0.060000	
1.644692	0.024020	0.039757	0.000303	50.000000	45.000000	0.060000	
1.645192	0.024020	0.039757	0.000303	50.000000	45.000000	0.060000	
1.645693	0.023984	0.039747	0.000263	50.000000	45.000000	0.060000	
1.646193	0.023984	0.039747	0.000263	50.000000	45.000000	0.060000	
1.646693	0.023984	0.039747	0.000263	50.000000	45.000000	0.060000	
1.647194	0.023949	0.039738	0.000223	50.000000	45.000000	0.060000	
1.647694	0.023949	0.039738	0.000223	50.000000	45.000000	0.060000	
1.648194	0.023878	0.039788	0.000126	50.000000	45.000000	0.060000	
1.648695	0.023878	0.039788	0.000126	50.000000	45.000000	0.060000	
1.649195	0.023843	0.039779	0.000086	50.000000	45.000000	0.060000	
1.649696	0.023843	0.039779	0.000086	50.000000	45.000000	0.060000	
1.650196	0.023807	0.039839	0.000029	50.000000	45.000000	0.060000	
1.650696	0.023807	0.039839	0.000029	50.000000	45.000000	0.060000	
1.651197	0.023807	0.039839	0.000029	50.000000	45.000000	0.060000	
1.651697	0.023772	0.039829	-0.000011	50.000000	45.000000	0.060000	
1.652197	0.023772	0.039829	-0.000011	50.000000	45.000000	0.060000	
1.652700	0.023772	0.039829	-0.000011	50.000000	45.000000	0.060000	
1.653201	0.023737	0.039889	-0.000067	50.000000	45.000000	0.060000	
1.653701	0.023737	0.039889	-0.000067	50.000000	45.000000	0.060000	
1.654201	0.023701	0.039860	-0.000188	50.000000	45.000000	0.060000	
1.654702	0.023701	0.039860	-0.000188	50.000000	45.000000	0.060000	
1.655202	0.023701	0.039860	-0.000188	50.000000	45.000000	0.060000	
1.655702	0.023666	0.039920	-0.000245	50.000000	45.000000	0.060000	
1.656203	0.023666	0.039920	-0.000245	50.000000	45.000000	0.060000	
1.656703	0.023631	0.039910	-0.000285	50.000000	45.000000	0.060000	
1.657203	0.023631	0.039910	-0.000285	50.000000	45.000000	0.060000	
1.657704	0.023631	0.039910	-0.000285	50.000000	45.000000	0.060000	
1.658204	0.023631	0.039979	-0.000301	50.000000	45.000000	0.060000	
1.658704	0.023631	0.039979	-0.000301	50.000000	45.000000	0.060000	
1.659205	0.023560	0.039941	-0.000462	50.000000	45.000000	0.060000	
1.659705	0.023560	0.039941	-0.000462	50.000000	45.000000	0.060000	
1.660206	0.023560	0.039941	-0.000462	50.000000	45.000000	0.060000	
1.660706	0.023560	0.040010	-0.000479	50.000000	45.000000	0.060000	
1.661206	0.023560	0.040010	-0.000479	50.000000	45.000000	0.060000	
1.661707	0.023525	0.040000	-0.000519	50.000000	45.000000	0.060000	
1.662207	0.023525	0.040000	-0.000519	50.000000	45.000000	0.060000	
1.662707	0.023455	0.040050	-0.000616	50.000000	45.000000	0.060000	
1.663208	0.023455	0.040050	-0.000616	50.000000	45.000000	0.060000	
1.663708	0.023455	0.040050	-0.000616	50.000000	45.000000	0.060000	
1.664208	0.023420	0.040040	-0.000657	50.000000	45.000000	0.060000	
1.664709	0.023420	0.040040	-0.000657	50.000000	45.000000	0.060000	
1.665209	0.023420	0.040090	-0.000754	50.000000	45.000000	0.060000	
1.665709	0.023420	0.040090	-0.000754	50.000000	45.000000	0.060000	
1.666210	0.023384	0.040080	-0.000794	50.000000	45.000000	0.060000	
1.666710	0.023384	0.040080	-0.000794	50.000000	45.000000	0.060000	
1.667210	0.023384	0.040080	-0.000794	50.000000	45.000000	0.060000	
1.667711	0.023384	0.040130	-0.000891	50.000000	45.000000	0.060000	
1.668211	0.023384	0.040130	-0.000891	50.000000	45.000000	0.060000	
1.668712	0.023349	0.040120	-0.000932	50.000000	45.000000	0.060000	
1.669212	0.023349	0.040120	-0.000932	50.000000	45.000000	0.060000	
1.669712	0.023349	0.040120	-0.000932	50.000000	45.000000	0.060000	
1.670213	0.023279	0.040170	-0.001029	50.000000	45.000000	0.060000	
1.670713	0.023279	0.040170	-0.001029	50.000000	45.000000	0.060000	
1.671213	0.023244	0.040229	-0.001086	50.000000	45.000000	0.060000	
1.671714	0.023244	0.040229	-0.001086	50.000000	45.000000	0.060000	
1.672214	0.023244	0.040229	-0.001086	50.000000	45.000000	0.060000	
1.672714	0.023209	0.040219	-0.001126	50.000000	45.000000	0.060000	
1.673215	0.023209	0.040219	-0.001126	50.000000	45.000000	0.060000	
1.673715	0.023209	0.040219	-0.001126	50.000000	45.000000	0.060000	
1.674215	0.023209	0.040200	-0.001207	50.000000	45.000000	0.060000	
